frame,brightness,size,catchlights,blink
349,77.44846900672144,5356,4,0
350,77.7742418569824,5342,4,0
351,77.07262164124909,5508,4,0
352,77.18683729433272,5470,4,0
353,77.1423276501112,5396,4,0
354,77.4944279346211,5384,4,0
355,77.16276477146042,5382,4,0
356,77.95590959614672,5398,4,0
357,77.88598130841122,5350,4,0
358,73.84650805832693,2606,2,1
359,77.55117513267626,5276,4,0
360,77.36108028116907,5406,4,0
361,78.39871987951807,5312,4,0
362,70.1188446969697,4224,4,0
363,66.67204695524578,2726,3,0
364,57.92020373514431,1178,2,1
365,0.0,0,0,1
366,0.0,0,0,1
367,0.0,0,0,1
368,0.0,0,0,1
369,0.0,0,0,1
370,0.0,0,0,1
371,0.0,0,0,1
372,0.0,0,0,1
373,0.0,0,0,1
374,0.0,0,0,1
375,0.0,0,0,1
376,0.0,0,0,1
377,51.42727272727273,220,1,1
378,0.0,0,0,1
379,51.06369426751592,628,2,1
380,53.958333333333336,528,2,1
381,55.153481012658226,1264,3,0
382,57.784933171324425,1646,3,0
383,59.55368421052631,1900,3,0
384,59.79531568228106,1964,3,0
385,62.11180679785331,2236,3,0
386,61.12783505154639,970,1,1
387,63.02972972972973,2960,4,0
388,63.314802411252515,2986,4,0
389,63.34685230024213,3304,4,0
390,63.578947368421055,3306,4,0
391,64.36645236703681,3422,4,0
392,65.35185185185185,3564,4,0
393,65.75418692598595,3702,4,0
394,66.43962362780972,3826,4,0
395,67.11697127937337,3830,4,0
396,67.52811350499212,3806,4,0
397,67.65159574468085,3760,4,0
398,67.48188405797102,3864,4,0
399,67.08490086426029,3934,4,0
400,68.02031714568881,4036,4,0
401,68.58572122389509,4118,4,0
402,68.9617202268431,4232,4,0
403,69.22014925373135,4288,4,0
404,65.2116935483871,1984,2,1
405,69.96173351775012,4338,4,0
406,69.84400731930467,4372,4,0
407,68.69907407407408,4320,4,0
408,66.23874118285404,3686,4,0
409,0.0,0,0,1
410,50.33507853403141,382,1,1
411,0.0,0,0,1
412,0.0,0,0,1
413,0.0,0,0,1
414,0.0,0,0,1
415,0.0,0,0,1
416,0.0,0,0,1
417,0.0,0,0,1
418,0.0,0,0,1
419,0.0,0,0,1
420,49.36875,320,1,1
421,0.0,0,0,1
422,0.0,0,0,1
423,51.13076923076923,260,1,1
424,52.75503355704698,596,2,1
425,54.85207100591716,676,2,1
426,53.811918063314714,1074,3,0
427,55.01437699680511,1252,3,0
428,54.984299516908216,1656,3,0
429,57.90015600624025,1282,2,1
430,57.52680965147453,1492,3,0
431,59.03103448275862,580,1,1
432,60.221518987341774,632,1,1
433,61.35227272727273,1584,2,1
434,61.84950495049505,2020,3,0
435,62.18020833333333,1920,3,0
436,62.493426140757926,2586,4,0
437,62.30853994490358,2904,4,0
438,63.50735294117647,2992,4,0
439,63.930944625407164,3070,4,0
440,64.02777777777777,3168,4,0
441,64.30604982206405,3372,4,0
442,64.92504461629981,3362,4,0
443,65.75675675675676,3478,4,0
444,66.64176470588235,3400,4,0
445,67.1271611823759,3586,4,0
446,69.72296601441812,1942,2,1
447,67.35045478865703,3738,4,0
448,66.1398116013882,4034,5,0
449,68.45269582909461,3932,4,0
450,68.83589743589744,3900,4,0
451,69.80852130325815,3990,4,0
452,69.70256916996047,4048,4,0
453,69.73915187376726,4056,4,0
454,69.39694280078895,4056,4,0
455,69.2964267740312,3974,4,0
456,68.26953511374876,4044,4,0
457,69.09481481481481,4050,4,0
458,67.06003078501796,3898,4,0
459,29.86806218020987,184496,16,1
460,68.98653042266605,4306,4,0
461,30.05916748934139,184358,16,1
462,30.177078006158666,183806,11,1
463,66.0,1910,2,1
464,69.6668228678538,4268,4,0
465,69.94536033914272,4246,4,0
466,71.13953488372093,4300,4,0
467,71.15816565278428,4274,4,0
468,71.13741875580315,4308,4,0
